ntor	|An|^2	Re[An]	Im[An]	Ntor
155	8.36747E-006	-0.00262821	0.0012083	62
156	6.57885E-006	-0.00219691	0.0013238	62.4
157	4.75817E-006	-0.00172458	0.00133566	62.8
158	3.04949E-006	-0.00123634	0.00123327	63.2
159	1.602E-006	-0.000759911	0.00101219	63.6
160	5.60343E-007	-0.000324044	0.000674787	64
161	5.49396E-008	4.31675E-005	0.000230383	64.4
162	1.92856E-007	0.000316003	-0.000304956	64.8
163	1.04993E-006	0.000472736	-0.000909094	65.2
164	2.66472E-006	0.000497062	-0.00155488	65.6
165	5.03471E-006	0.00037924	-0.00221154	66
166	8.11509E-006	0.00011687	-0.0028463	66.4
167	1.18202E-005	-0.000284753	-0.00342624	66.8
168	1.60275E-005	-0.000812737	-0.00392008	67.2
169	2.05842E-005	-0.00144713	-0.0043	67.6
170	2.5315E-005	-0.0021619	-0.00454326	68
171	3.00325E-005	-0.00292627	-0.00463351	68.4
172	3.45469E-005	-0.00370633	-0.00456179	68.8
173	3.86768E-005	-0.0044669	-0.00432707	69.2
174	4.22588E-005	-0.00517339	-0.00393635	69.6
175	4.51563E-005	-0.00579371	-0.00340429	70
176	4.72659E-005	-0.0063	-0.00275243	70.4
177	4.85221E-005	-0.00667011	-0.00200792	70.8
178	4.88994E-005	-0.00688872	-0.00120208	71.2
179	4.84123E-005	-0.00694812	-0.000368563	71.6
180	4.71121E-005	-0.0068485	0.000458458	72
181	4.5083E-005	-0.00659773	0.00124619	72.4
182	4.24349E-005	-0.00621077	0.00196499	72.8
183	3.92965E-005	-0.00570867	0.00258991	73.2
184	3.5807E-005	-0.00511713	0.00310193	73.6
185	3.21079E-005	-0.00446497	0.00348884	74
186	2.83358E-005	-0.00378229	0.00374568	74.4
187	2.46153E-005	-0.00309874	0.00387468	74.8
188	2.10543E-005	-0.00244176	0.00388486	75.2
189	1.774E-005	-0.00183505	0.00379112	75.6
190	1.47375E-005	-0.00129736	0.00361309	76
191	1.20895E-005	-0.000841493	0.00337363	76.4
192	9.81748E-006	-0.000473908	0.00309724	76.8
193	7.92472E-006	-0.000194568	0.00280836	77.2
194	6.39969E-006	2.67561E-006	0.00252976	77.6
195	5.22012E-006	0.000129358	0.00228109	78
196	4.35725E-006	0.000201321	0.00207767	78.4
197	3.77968E-006	0.000237381	0.00192959	78.8
198	3.45662E-006	0.000257833	0.00184123	79.2
199	3.36028E-006	0.000282888	0.00181115	79.6
200	3.46726E-006	0.000331154	0.00183237	80
